00:33:44	11.5	15.7	57.2	9.5	10.7	7.5	9.5	7.1	11.5	
01:33:44	8.5	18.8	41.5	11.6	9.5	9.6	10.7	8.5	10.5	
02:33:44	10.4	13.5	49.5	9.5	7.5	11.8	10.5	7.7	7.5	
03:33:44	10.9	15.5	59.5	8.5	7.7	9.5	10.5	11.9	11.5	
04:33:44	9.8	14.5	57.3	9.5	10.2	8.5	11.5	11.9	9.2	
05:33:44	12.5	15.5	34.5	11.5	7.5	8.1	7.5	11.9	9.6	
06:33:44	10.5	15.5	54.5	8.4	7.5	10.5	10.4	7.5	10.5	
07:33:44	8.5	18.5	57.7	8.2	9.8	11.5	8.5	8.6	11.5	
08:33:44	17.7	20.8	59.5	44.8	44.2	43.5	44.5	40.5	42.8	
09:33:44	17.5	19.6	65.3	44.5	40.5	42.5	41.3	42.5	40.5	
10:33:44	15.5	22.5	45.5	40.5	41.5	42.5	41.9	44.5	40.5	
11:33:44	14.5	22.5	60.5	42.4	42.5	42.5	43.5	42.5	42.5	
12:33:44	17.5	24.2	71.5	44.4	42.5	43.5	42.5	41.8	44.5	
13:33:44	17.5	19.5	48.5	41.5	42.3	43.5	44.5	40.5	42.5	
14:33:44	15.4	24.5	66.5	42.5	42.5	41.5	43.1	41.7	43.5	
15:33:44	16.4	21.5	54.5	42.2	42.5	42.5	43.2	42.3	40.6	
16:33:44	15.7	23.5	56.5	41.8	40.5	41.5	43.5	40.5	44.5	
17:33:44	17.5	21.5	61.5	42.5	43.5	42.1	44.6	42.2	40.8	
18:33:44	18.5	13.5	54.5	13.5	13.2	16.5	15.7	16.5	14.4	
19:33:44	16.6	13.5	46.5	15.1	12.8	14.5	14.5	12.3	14.5	
20:33:44	18.5	14.4	42.2	12.2	14.5	14.6	14.5	13.5	13.7	
21:33:44	16.9	14.5	56.5	12.8	13.3	14.5	14.8	15.5	16.5	
22:33:44	16.5	15.7	49.5	15.5	14.5	13.8	13.5	14.5	14.5	
23:33:44	15.8	18.5	60.2	16.5	14.5	14.5	13.5	14.7	15.5	
